Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8
38000,38001,38002,38003,38004,38005,38006,38007
[X] 38008,38009,38010,38011,38012,38013,38014,38015
[X] 38016,[X] 38017,38018,38019,38020,38021,38022,38023
[X] 38024,38025,38026,38027,[X] 38028,38029,38030,38031
38032,38033,38034,38035,[X] 38036,38037,38038,38039
38040,38041,[X] 38042,38043,38044,38045,38046,38047
38048,[X] 38049,38050,[X] 38051,38052,38053,38054,38055
38056,38057,[X] 38058,[X] 38059,[X] 38060,38061,38062,38063
38064,38065,38066,38067,[X] 38068,38069,38070,38071
38072,38073,38074,38075,38076,38077,38078,3807938073
-,-,[,3,8,0,7,3,],-,-
